Jugador,prediccion_linear,prediccion_lasso,prediccion_ridge
Adam Aznou,9998082.441656595,9998083.285213858,9919923.072944429
Adam Hlozek,25108363.253824353,25108314.22538136,24963841.047370426
Adrian Beck,16189110.335782852,16189080.265224684,16149009.105182648
Aleix Garcia,22878061.44008909,22877997.607246198,22561476.711037554
Aleksandar Pavlovic,25599214.454139538,25599111.513582334,25323190.105413172
Alexander Meyer,-2851117.3460628428,-2851019.3107397426,-2747204.1977715567
Alexander Nubel,10497050.802692518,10497047.961477792,10426018.769834846
Alexander Prass,15069761.032987136,15069762.66421498,15204885.658246696
Alexis ClaudeMaurice,16408580.667659791,16408603.88787095,16652164.480664857
Almugera Kabar,11014784.858348578,11014749.087573467,10900811.881396357
Alphonso Davies,26920092.453718334,26919945.554497533,26838521.261067018
Amadou Haidara,6735587.11370373,6735625.073117257,6680246.975485787
Ameen AlDakhil,8810795.898186767,8810782.022401743,8833116.814269139
Amine Adli,15828520.411438659,15828551.402480764,15880562.207923628
Amos Pieper,5207718.08906971,5207741.575599122,5165799.378308382
Andras Schafer,6302225.415656285,6302270.849157987,6490303.49228247
Andre Silva,3481255.3244233727,3481272.1766001843,3669514.872299684
Andreas HancheOlsen,8637051.974642439,8637058.606505947,8725575.705220874
Andreas Skov Olsen,12521925.6287668,12521912.521793623,12460494.821054809
Andrej Ilic,10984317.643309832,10984354.596514348,11182371.381520815
Andrej Kramaric,24932017.076403864,24931897.841547642,24639850.554675188
Angelo Stiller,36345537.302688934,36345393.21635023,35918816.30658211
Ansgar Knauff,14372966.927925061,14373070.089330476,14675123.844092729
Anthony Caci,16380768.170884376,16380779.788940677,16608730.876489237
Anthony Rouault,17529061.16118511,17528985.390962996,17349408.956494804
Anton Stach,18868592.28353721,18868658.783210456,18935299.501406193
Antonio Nusa,22007072.869504374,22007021.186979532,21803073.55494456
Arijon Ibrahimovic,5916786.95455303,5916675.371857181,5810123.572139699
Armindo Sieb,7121611.840555188,7121603.656933951,7161825.203607463
Arnaud Nordin,3727079.502485743,3727168.7937208265,3823622.7293668427
Arne Maier,5382714.095134218,5382723.167070933,5573966.656069712
Arthur,8602542.885143487,8602587.884586874,8594819.295003522
Arthur Chaves,16574181.430742685,16574178.028614243,16485592.944376921
Arthur Theate,18004373.922344822,18004449.943008263,18231335.830488034
Arthur Vermeeren,17665101.609998174,17665104.140665416,17658173.07505814
Assan Ouedraogo,12154917.84040057,12154887.167837858,12079840.142932065
Aster Vranckx,1534303.201630067,1534412.569412887,1668503.2505604476
Atakan Karazor,20928005.090263523,20927987.645553224,20837204.69858657
Aurele Amenda,10935768.261596909,10935722.531596133,10916881.190046053
Bazoumana Toure,10945150.234789515,10945274.747822952,11393552.817406256
Benedict Hollerbach,26605073.696059704,26605027.210594058,26529537.416544493
Benedikt Gimber,7119837.926849908,7120027.609544308,7350310.233121885
Benjamin Henrichs,8205249.137126127,8205312.078622635,8287560.512974431
Benjamin Sesko,36612904.48582816,36612739.401354186,36130758.93115644
Budu Zivzivadze,9362802.496322779,9362769.474337263,9492634.9914653
Can Uzun,20155152.05216539,20155099.12218987,19929387.138681788
Carney Chukwuemeka,12373826.419509282,12373821.03937963,12385227.750394486
Castello Lukeba,18482039.525643088,18481979.161082625,18426892.97053327
Cedric Zesiger,10538973.707764238,10538996.253905851,10577515.9788489
Chris Fuhrich,19636278.855689175,19636231.548400044,19583996.786216725
Chrislain Matsima,16712901.146440133,16712902.025815029,16813598.78700454
Christoph Baumgartner,12416160.824092753,12416209.9314844,12560818.368658809
Christopher Trimmel,-2986506.9567649458,-2986385.847426474,-2735691.248584505
Cole Campbell,6606074.284622633,6606122.306116716,6538782.550708565
DanAxel Zagadou,-58086.31267900206,-58029.120517879725,-20734.984909184277
Daniel Peretz,2538571.4086378664,2538650.613004159,2560945.5934071727
Daniel Svensson,8154193.575847761,8154201.841708867,8034149.6865851525
Danilho Doekhi,6534946.203009668,6535020.0490637915,6640725.319628347
Danny da Costa,3663580.3876432534,3663634.230309002,3972302.956707809
David Mokwa,12105683.595357843,12105598.253294352,12018778.931753503
David Raum,17933674.639204305,17933662.606531985,18070944.790331632
Dayot Upamecano,21827919.89322849,21827778.539607607,21407293.15109978
Denis Vavro,10919125.871580144,10919143.262299497,11085876.156546842
Deniz Undav,18672636.65751542,18672652.257790722,18773033.69191887
Dennis Geiger,6269136.207381752,6269116.142455883,6194010.695470617
Derrick Kohn,15537483.929437935,15537422.18194275,15442470.744944528
Dimitris Giannoulis,11905441.988252474,11905530.743930709,12347654.886385975
Diogo Leite,9000433.682804497,9000488.487900468,9160063.705369476
Dominik Kohr,9892718.526957948,9892867.735171245,9973381.519731207
Edmond Tapsoba,20960440.467291467,20960375.15611343,20885431.75427355
El Bilal Toure,8246052.931929791,8246064.36711736,8254034.5360517055
El Chadaille Bitshiabu,14492428.654322974,14492438.980977196,14626511.415597256
Elias Saad,11750702.825869532,11750756.66333831,12030839.715741742
Elif Elmas,5927535.391666518,5927567.29179738,5985195.631721592
Ellyes Skhiri,12299347.981413566,12299372.980241986,12541681.734957457
Elvis Rexhbecaj,6002803.842878472,6002831.533084287,6144533.881796521
Elye Wahi,12784859.92119722,12784846.043375686,12798312.331370322
Emi Buendia,6524482.49987324,6524475.359049872,6442974.438965133
Emre Can,17768273.442569993,17768237.083670598,17599563.55968891
Eric Dier,16649561.734136676,16649495.817024555,16486807.172104247
Ermedin Demirovic,25264970.338153064,25264908.58586011,24901034.523859166
Exequiel Palacios,18559675.100297455,18559560.859689895,18306725.933732077
Fabian Rieder,9455069.849197747,9455107.666977296,9497384.032406518
Fabio Chiarodia,9503995.10166877,9503918.820587989,9401794.818800075
